"yr_csv","P","ds","q_gross_inflow","q_inflow","net_inflow","et_rain","et_rain_Nat","et_rain_Urban","et_rain_ag","et_blue","et_blue_Nat","et_blue_Urban","et_blue_ag","landscape_et","sect_w_con","consumtion_manmade","consumed_water","q_tww","natural_surface_q","outflow"
2018,1272.01552968702,-149.959373757814,1437.59234187702,165.57681219,1287.6329681192,652.350300950084,445.589260814823,28.9113522719335,177.849687863327,365.007862480118,262.289977430618,25.0784567177958,77.6394283317041,939.718735098498,127.587525689,205.226954020704,1144.9456891192,131.093932273,11.593346727,142.687279
2019,1100.14093117275,40.496125130765,1268.25343930275,168.11250813,1308.74956443351,654.317013335991,441.336498565906,25.8240629996877,187.156451770397,385.202693100522,268.823460354308,28.5677718109592,87.8114609352544,951.708245501258,102.851475997,190.662936932254,1142.37118243351,129.184384806,37.193997194,166.378382
2020,775.951319686722,83.2272388201144,943.440921396722,167.48960171,1026.66816021684,516.727521059051,369.479604623252,22.9938777241557,124.254038711643,269.851912411786,206.741624893304,25.4503916338679,37.6598958846134,748.919537586223,93.320094746,130.979990630613,879.899528216836,129.713605275,17.055026725,146.768632
2021,927.674234186167,-34.2825588140695,1096.71449167617,169.04025749,1062.4319328621,523.206892696324,370.706131482725,24.2393385478516,128.261422665748,257.472996636773,198.0363366841,23.6925883472222,35.7440716054511,744.935817727646,146.642939529,182.387011134451,927.322828862097,130.256203585,4.85290041499999,135.109104
